,inFocus5s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,zern_defocus_nm,zern_xastig_nm,zern_yastig_nm,zern_xcoma_nm,zern_ycoma_nm,zern_xtrefoil_nm,zern_ytrefoil_nm,zern_spherical_nm,zern_astig_oblique_nm,zern_astig_vertical_nm,zern_coma_vertical_nm,zern_coma_horizontal_nm,zern_trefoil_vertical_nm,zern_trefoil_oblique_nm,position0,position1,position2,position3,position4,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-07-08 07:17:26.438000+00:00,AT_O_20210707_000475,AT_O_20210707_000473,AT_O_20210707_000474,5,1625728646.4375207,1625728512.4799404,1625728562.2629511,1.1998590819450328,28.67316232166485,179.50206029828317,-2.51969210641,2.43050648212,-1.43249518309,0.349999304145,0.220000619896,1.6463441583e-06,58109.68871362304,-18.86319530566678,,,,,,,22.132112514919832,14.171395788305672,-121.77214439708168,-8.518255261539396,5.792715768204733,34.689970689115896,0.7261965349682145,-1.036,0.514,-21.633,0.476,9.029,-0.0,-0.0,0.0,0.0,0.0
2021-07-08 07:19:48.943000+00:00,AT_O_20210707_000478,AT_O_20210707_000476,AT_O_20210707_000477,5,1625728788.9430056,1625728654.2613654,1625728704.8341565,0.6206526525231311,28.677201263525347,179.48163312192773,-2.49548534662,2.37711975773,-1.42683986855,0.349998623465,0.220001521818,-1.53800262067e-07,58128.41532617188,7.987122495266268,,,,,,,21.94904897479316,2.850444299370261,-132.07386379521722,-1.863499948658177,1.8893573001347364,31.461712461109823,2.150110542849675,-1.036,0.515,-21.633,0.477,9.029,0.2402120899488319,-0.1680763272014737,0.0003336049520878,0.0,0.0009848077530122
2021-07-08 07:22:27.594000+00:00,AT_O_20210707_000481,AT_O_20210707_000479,AT_O_20210707_000480,5,1625728947.5932631,1625728814.7181346,1625728864.4620728,-0.0326601900151581,28.68149047336773,179.45938428755588,-2.50225897675,2.36121295298,-1.42888337151,0.349998764336,0.219999928102,-2.01349666834e-07,58172.43338623046,23.73060460408309,,,,,,,17.333340772836156,-1.8884203625954616,-141.13837712787068,2.1529266675518124,-4.794904038454611,30.57558375520763,-3.52704532690002,-1.036,0.515,-21.633,0.477,9.029,0.2402120899488319,-0.1680763272014737,0.0003336049520878,0.0,0.0009848077530122
2021-07-08 07:25:19.284000+00:00,AT_O_20210707_000484,AT_O_20210707_000482,AT_O_20210707_000483,5,1625729119.283383,1625728987.3758874,1625729037.1323814,-0.7371766281766194,28.6863309147504,179.4363191445837,-2.51134727474,2.39777719415,-1.43565904923,0.350000482326,0.219999971793,-9.6170785597e-07,58162.38516945352,-21.83296173495586,,,,,,,19.947903945776808,9.27854656496046,-126.76906343386416,-5.387884943421872,-5.205577002041437,39.22852717385225,11.2512643139017,-1.036,0.515,-21.633,0.477,9.03,-0.0256081957751897,-0.2917891603130894,0.0006671382108132,0.0,0.0009848077530122
2021-07-08 07:27:56.900000+00:00,AT_O_20210707_000487,AT_O_20210707_000485,AT_O_20210707_000486,5,1625729276.8996332,1625729144.0842938,1625729194.6515207,-1.3774174267255506,28.69144921461189,179.4147207103356,-2.48424231548,2.38929568732,-1.43053848118,0.349999847015,0.219999446798,8.35562916344e-07,58238.1972558115,-9.430827687444284,,,,,,,16.719630054184734,-2.169427719231993,-123.59666423138452,7.757473587915117,-2.731546509233126,24.916579637620924,10.15406840415789,-1.036,0.515,-21.633,0.478,9.03,0.2146038941736731,-0.4598654875140331,0.0010007431629011,0.0,0.0009848077530122
2021-07-08 07:30:28.775000+00:00,AT_O_20210707_000490,AT_O_20210707_000488,AT_O_20210707_000489,5,1625729428.775005,1625729299.500887,1625729349.330134,-2.0124185211898293,28.69595900616841,179.3940247368417,-2.51196948082,2.42085663649,-1.42974694275,0.349999987383,0.220001004702,-1.83707920249e-06,58099.25230932616,-15.469234940461826,,,,,,,20.727985954366662,8.241689295329747,-140.05017440145127,-18.13527261783338,1.5261662553725075,54.37012166816757,13.419500380177467,-1.036,0.515,-21.633,0.478,9.03,0.2146038941736731,-0.4598654875140331,0.0010007431629011,0.0,0.0009848077530122
2021-07-08 07:32:53.063000+00:00,AT_O_20210707_000493,AT_O_20210707_000491,AT_O_20210707_000492,5,1625729573.062854,1625729442.1919563,1625729491.9249322,-2.590232374513289,28.701405911066104,179.37365343089826,-2.45750791489,2.35398362292,-1.42471383969,0.349999222917,0.220000613514,-7.35614228812e-07,58168.482805275424,16.421862050313763,,,,,,,24.90288304217368,-1.401675900948145,-135.83587001129763,10.155295007032011,-2.179393233205626,23.905445391140205,21.94375882211968,-1.036,0.515,-21.633,0.478,9.03,0.2146038941736731,-0.4598654875140331,0.0010007431629011,0.0,0.0009848077530122
2021-07-08 07:35:14.114000+00:00,AT_O_20210707_000496,AT_O_20210707_000494,AT_O_20210707_000495,5,1625729714.1120603,1625729583.1357353,1625729633.2807157,-3.1679561768764604,28.705635961545767,179.35490013020427,-2.49780073794,2.38064283913,-1.42949389322,0.349999879288,0.219999887879,1.27239870255e-07,57743.11001269532,-0.6043366978455037,,,,,,,16.771735018132166,36.01295784483616,-120.4058278872307,-3.0043555621682065,7.83322305839868,56.63880161632727,17.240707957554104,-1.036,0.515,-21.633,0.478,9.03,0.2146038941736731,-0.4598654875140331,0.0010007431629011,0.0,0.0009848077530122
2021-07-08 07:37:36.082000+00:00,AT_O_20210707_000499,AT_O_20210707_000497,AT_O_20210707_000498,5,1625729856.0816653,1625729722.135332,1625729772.3220422,-3.734412345766174,28.710351907336563,179.33536750403763,-2.51102357246,2.33381699322,-1.42867514489,0.349998613947,0.220000908849,-5.18565849515e-07,57743.657082275386,-17.22517250142083,,,,,,,15.194987423379327,4.379102827930728,-123.07531096275883,-6.343403614225613,-7.650528731903493,21.132527449340166,1.9084731780739688,-1.036,0.515,-21.633,0.478,9.03,0.2146038941736731,-0.4598654875140331,0.0010007431629011,0.0,0.0009848077530122
