,inFocus2s,inFocus20s,intra,extra,inFocusExpTime,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1,zern_defocus_nm,zern_xastig_nm,zern_yastig_nm,zern_xcoma_nm,zern_ycoma_nm,zern_xtrefoil_nm,zern_ytrefoil_nm,zern_spherical_nm
2021-07-09 06:45:38.899000+00:00,AT_O_20210708_000399,AT_O_20210708_000400,AT_O_20210708_000401,AT_O_20210708_000402,20,1625813204.225639,1625813208.697243,1625813259.352979,-7.484460410766998,80.83458440809987,36.98962659503084,-3.75799654133,2.27795889942,-1.24719914929,0.349998941608,0.220001518219,-1.95099819999e-06,116924.48823026774,11.366309426143564,-36.67296937882301,-111.7007788953791,-36.54350520164601,-13.351275080536892,4.8319277552481905,30.89571418283736,30.81279656454758
2021-07-09 06:49:18.341000+00:00,AT_O_20210708_000405,AT_O_20210708_000406,AT_O_20210708_000407,AT_O_20210708_000408,20,1625813407.1384368,1625813411.9279988,1625813462.973725,-17.713807671336006,71.76999061964663,44.29294874546559,-3.73097890647,2.26444683206,-1.25235001418,0.350000187088,0.22000064367,-2.21522041134e-06,112066.00702215463,-71.95339407063445,53.000189775920255,-14.2868755767191,-18.035190615366098,-3.8215489934455973,-11.921445297191386,12.693184447410554,30.031808734355685
2021-07-09 06:52:49.011000+00:00,AT_O_20210708_000411,AT_O_20210708_000412,AT_O_20210708_000413,AT_O_20210708_000414,20,1625813616.945267,1625813621.3732333,1625813671.8835206,-31.05606119259668,58.68548526605242,42.13048494581628,-3.91939982386,2.24476672433,-1.22583077454,0.350001539195,0.220000718208,1.30612522621e-06,102405.11304931642,-22.13057937670126,87.56720948108416,-84.74047968031347,-11.342274191538463,-25.78052241520877,-13.395340812630648,33.3332999998572,30.3408247862059
2021-07-09 06:56:07.706000+00:00,AT_O_20210708_000417,AT_O_20210708_000418,AT_O_20210708_000419,AT_O_20210708_000420,20,1625813821.7869842,1625813826.3128498,1625813877.063038,-38.98458678796422,50.7679165705081,42.46906150405324,-3.73377509864,2.2439122853,-1.24958926859,0.349999554979,0.220000474288,4.80934529598e-07,92693.70219287107,131.41226005316233,124.0750789183015,-77.80043856479898,-19.977851545695145,-49.39135327731647,-30.53806935250478,3.616226584995692,30.08034714261322
2021-07-09 06:59:35.006000+00:00,AT_O_20210708_000423,AT_O_20210708_000424,AT_O_20210708_000425,AT_O_20210708_000426,20,1625814029.402234,1625814033.9642737,1625814084.4869485,-48.21911737230703,41.64026148722498,45.67314620387105,-2.99742607376,2.26598818984,-1.38769603815,0.350000560118,0.220000948282,-9.15305688703e-07,79736.09266764321,207.32866728487042,70.6551132425729,-31.871962695567603,19.484951117579616,-80.99765410000946,-45.27175066227229,16.571952669312886,39.106243541222824
2021-07-09 07:03:09.574000+00:00,AT_O_20210708_000429,AT_O_20210708_000430,AT_O_20210708_000431,AT_O_20210708_000432,20,1625814280.2403517,1625814284.170806,1625814334.291811,-59.560461012707904,30.17888687656794,46.01304177835318,-2.523745316695,2.347359825925,-1.43184319601,0.349999429869,0.219999996275,-9.82409050975e-08,60478.668324462895,158.47018892270904,128.28164211620555,88.86761106660363,40.22588377982644,-42.98405188560187,-28.359499762132085,8.480845480526902,34.78078773540774
2021-07-09 07:07:01.483000+00:00,AT_O_20210708_000435,AT_O_20210708_000436,AT_O_20210708_000437,AT_O_20210708_000438,20,1625814484.6122415,1625814488.566234,1625814538.707376,-61.6418493159159,28.21375347218709,44.62799016361241,-2.54994411634,2.36879199982,-1.42655677998,0.350000483028,0.220000046832,4.04714537487e-07,56745.21301635742,209.7536016101179,159.36484853481986,107.28406527504129,22.386032211866645,-73.35958453240431,-42.5526266379259,21.122623945211746,31.06465083232466
2021-07-09 07:11:41.947000+00:00,AT_O_20210708_000441,AT_O_20210708_000442,AT_O_20210708_000443,AT_O_20210708_000444,20,1625814752.7192478,1625814757.068102,1625814807.9042664,-53.74095367065628,36.10482084067617,45.66545231360429,-2.59760928799,2.29659046308,-1.44284541192,0.349999319486,0.220000356459,1.85587308591e-06,71024.36029052734,64.7480090734965,98.22685828025242,58.46061139960389,28.676337685075083,-77.7228196233551,-38.804128711645944,2.819971090260101,40.14078747691582
2021-07-09 07:15:03.458000+00:00,AT_O_20210708_000447,AT_O_20210708_000448,AT_O_20210708_000449,AT_O_20210708_000450,20,1625814952.429092,1625814956.795102,1625815007.4828384,-45.34297950034898,44.461874932223616,42.10774285811246,-3.25588675965,2.25578560439,-1.34024542522,0.350000768218,0.220000100991,-1.0897079386e-06,84056.41583634919,137.29527146757331,70.75636519938907,21.378020949660318,-7.744062615696929,-57.12099690615799,-27.910165606906315,-8.40965013317075,29.565387253488048
2021-07-09 07:19:47.884000+00:00,AT_O_20210708_000453,AT_O_20210708_000454,AT_O_20210708_000455,AT_O_20210708_000456,20,1625815241.9679508,1625815246.4613993,1625815297.5010033,-31.99472200251972,57.72836821586808,45.52191592297744,-3.91937530035,2.24384927071,-1.22409494241,0.349999286934,0.220001593606,-1.96105737079e-09,100681.39004361018,-95.8059292003229,73.61447687003569,1.031755357881955,-7.306907035155995,-6.199432451142872,-14.49929485106663,13.90764024458168,27.618863390277085
2021-07-09 07:23:45.115000+00:00,AT_O_20210708_000459,AT_O_20210708_000460,AT_O_20210708_000461,AT_O_20210708_000462,20,1625815471.925328,1625815476.270156,1625815526.7379816,-22.80091269239143,66.86227534552484,41.10593065146677,-3.79544675017,2.25617138908,-1.24821529854,0.349999996275,0.219999996275,-4.35988254127e-07,108719.9372121582,-112.62213175298719,21.890907387189973,-66.56740723727994,8.67911225261072,9.640092736132292,-12.592081836859467,27.708871216522482,27.125591949416037
2021-07-09 07:27:49.022000+00:00,AT_O_20210708_000465,AT_O_20210708_000466,AT_O_20210708_000467,AT_O_20210708_000468,20,1625815719.451892,1625815723.964274,1625815774.9692273,-13.131951513483337,76.09461593818531,48.42829018814077,-3.72162591026,2.27128154125,-1.25047191015,0.349999570838,0.220000307207,-5.00750991692e-07,114509.5019655714,-74.94844231680644,-28.67013951960854,-131.56078551400572,3.9868498030566237,-3.25738561537352,-15.012659279589261,6.324454647329798,40.11017680649781
2021-07-09 07:33:07.928000+00:00,AT_O_20210708_000471,AT_O_20210708_000472,AT_O_20210708_000473,AT_O_20210708_000474,20,1625816043.7859628,1625816048.301679,1625816098.4964032,-8.589262597639783,80.0865296635351,40.778273221153846,-3.75065924795,2.27710344714,-1.24758670207,0.349998960672,0.220000593976,2.11351877167e-06,116185.1645373535,-36.35497003539059,40.21064159298717,-170.6712131762865,-0.2675341676985086,-29.319902676496028,6.342041205230735,19.60223409034945,36.39833311489375
