,inFocus20s,inFocusExpTime20s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,rot_pos,el,az,x,y,z,u,v,w,m1
2021-08-18 09:58:04.405000+00:00,AT_O_20210817_000505,15,1629280684.4042842,1629280666.77097,1629280684.4042842,0.7764778120147051,30.365652578899994,39.433849620291284,-4.09493165999,2.3611612693,-1.16350897674,0.350000685823,0.220000168915,1.67713467536e-07,49891.109170193144
2021-08-18 09:58:43.217000+00:00,AT_O_20210817_000506,15,1629280723.2165375,1629280705.5802495,1629280723.2165375,0.2237883044033558,35.531791830939575,39.73752585386768,-4.16947559014,2.36115078463,-1.17978492009,0.349999562018,0.219999769757,-4.31983086329e-07,60286.48324856228
2021-08-18 09:59:22.361000+00:00,AT_O_20210817_000507,15,1629280762.3600461,1629280744.7266688,1629280762.3600461,0.2285614794219488,41.55523816119667,39.41959991157123,-4.20411230202,2.36115573255,-1.19747109267,0.349999656833,0.220001613839,-5.72987562199e-07,71495.09729885525
2021-08-18 10:00:01.160000+00:00,AT_O_20210817_000508,15,1629280801.1597033,1629280783.5259132,1629280801.1597033,0.22492957338141017,46.42449891408776,40.04508257333267,-4.1981254931,2.3611547329,-1.21092479844,0.350000539764,0.220000033447,8.73012987559e-07,79707.3364461263
2021-08-18 10:00:40.047000+00:00,AT_O_20210817_000509,15,1629280840.0459456,1629280822.4167953,1629280840.0459456,0.23343277200830118,52.37229462306035,39.7245081307879,-4.15921380699,2.36115771114,-1.22574296527,0.350000606374,0.219999828603,-2.97953632342e-06,89241.89420233833
2021-08-18 10:01:18.939000+00:00,AT_O_20210817_000510,15,1629280878.938133,1629280861.2884512,1629280878.938133,0.23636996472406382,57.89861483713159,39.34694901529373,-4.10286256439,2.36115198711,-1.23774246479,0.350000418094,0.220000835609,-1.11842507189e-06,97498.81482436239
2021-08-18 10:01:57.773000+00:00,AT_O_20210817_000511,15,1629280917.7719953,1629280900.1308627,1629280917.7719953,0.24960847918797904,63.882624117930796,40.0288934551063,-4.03158784617,2.36116193181,-1.24875411228,0.35000098925,0.219999200425,1.58041489463e-06,105347.0354133157
2021-08-18 10:02:36.661000+00:00,AT_O_20210817_000512,15,1629280956.6605313,1629280939.0255594,1629280956.6605313,0.2670772967200416,69.18763988554161,40.027846474686356,-3.96798370541,2.36115402519,-1.25676554495,0.349999203273,0.219999622818,2.917418529e-06,111098.56851663029
2021-08-18 10:03:15.364000+00:00,AT_O_20210817_000513,15,1629280995.3627908,1629280977.73123,1629280995.3627908,0.29998263107058043,74.23172371017041,38.48614008093735,-3.913688279,2.361154152,-1.26278611626,0.349998671429,0.219999234104,-9.42005200086e-07,115938.30523410373
2021-08-18 10:03:54.361000+00:00,AT_O_20210817_000514,15,1629281034.3599546,1629281016.7242033,1629281034.3599546,0.38670414164131645,79.84285077292674,38.63958673424649,-3.86656686854,2.36115895831,-1.26756592901,0.350000229732,0.219999549261,1.07542366036e-06,119656.85874091255
2021-08-18 10:04:59.469000+00:00,AT_O_20210817_000515,15,1629281099.4683778,1629281081.8277657,1629281099.4683778,0.33890370590105545,79.9588621768669,40.98932784253317,-3.86656686854,2.36115895831,-1.26756592901,0.350000229732,0.219999549261,1.07542366036e-06,119772.1174173991
2021-08-18 10:05:38.277000+00:00,AT_O_20210817_000516,15,1629281138.2760646,1629281120.6269848,1629281138.2760646,0.30103948935235775,74.91698052325793,39.863070725642,-3.9069354096,2.36116199965,-1.26349148093,0.350000207271,0.220000198108,-6.74953209186e-07,116420.14728732637
2021-08-18 10:06:17.662000+00:00,AT_O_20210817_000517,15,1629281177.6610603,1629281160.0304053,1629281177.6610603,0.2712893582844545,69.33342850925862,40.436294630878635,-3.96628921717,2.36115621196,-1.25696302593,0.349998831241,0.220001129781,1.0471725813e-06,111286.82481330424
2021-08-18 10:07:02.575000+00:00,AT_O_20210817_000518,15,1629281222.5741005,1629281204.9334545,1629281222.5741005,0.2761990021845122,58.25966127430638,39.985595424220264,-4.09860171637,2.36115796907,-1.23849296498,0.35000053416,0.219998129683,7.25231349966e-09,97835.79620836047
2021-08-18 10:07:41.462000+00:00,AT_O_20210817_000519,15,1629281261.4609456,1629281243.8244455,1629281261.4609456,0.2369482999698341,52.822787039587105,39.67228548474753,-4.15523343894,2.36116005754,-1.22677565074,0.350001376009,0.21999988427,-1.55623861412e-06,89954.95497979058
2021-08-18 10:08:20.667000+00:00,AT_O_20210817_000520,15,1629281300.6664026,1629281283.025404,1629281300.6664026,0.23143917413407883,46.886352595328766,39.97678565611697,-4.19565192798,2.36115506058,-1.21247313542,0.350000841832,0.220000353835,2.03461768961e-06,80503.64036506203
2021-08-18 10:08:59.569000+00:00,AT_O_20210817_000521,15,1629281339.5683317,1629281321.9369724,1629281339.5683317,0.23017970607992644,41.61531556722099,39.6580258623726,-4.20445471602,2.36115841707,-1.1981005609,0.349999587202,0.22000046366,-2.08810297019e-06,71705.6255710178
